"","row_identifier","latitude","longitude","bio13","bio14","bio5","gsl","mean_forest_combined","mean_wetland_combined","mean_urban_combined","mean_mining_combined","diff_forest_combined","diff_wetland_combined","diff_urban_combined","diff_mining_combined","focal"
"1",229,3.87,-51.85,58.5200012207031,4.84000015258789,-269.964999961853,365,0.962391729844276,0,0,0,0,0,0,0,1
"2",230,4.33,-52.35,52.6900024414062,7.35999984741211,-269.995000076294,365,0.982255772115553,0,0,0,0,0,0,0,1
"3",231,4.89,-52.29,55.9900024414063,5.82999992370605,-270.104999923706,365,0.0846218646775548,0.20501498823454,0.16470912843136,0,-0.00158599195987473,-0.0272902202220244,0.228993256619801,0,1
"4",232,4.91,-52.3,55.65,5.65,-270.145000076294,365,0.730883853110385,0.00370128654095818,0.0134466483372946,0,0.0194398819055892,0.00606080481555415,0.0534330808732575,0,1
"5",233,4.89,-52.31,55.3900024414063,5.95999984741211,-270.095000076294,365,0.140131059065695,0.0876930791826315,0.144456969337086,0,-0.0675546190551761,-0.0496722136266371,0.170469404439769,0,1
"6",234,3.89,-52.57,43.8,5.37000007629395,-269.895000076294,365,0.911139832394175,0,0,0,0.0124875825805667,0,0,0,1
"7",947,-1.7372,-51.4546,36.3700012207031,4.65999984741211,-269.875,365,0.848292802964002,0.00306540287863937,0,0,0.0100518412057915,0.00114412729743509,0,0,1
"8",236,0.778056,-51.9436,30.5200012207031,4.39000015258789,-269.734999847412,351,0.458134683560916,0.0385897035371129,0.0914364981701659,0,0.0675521767635584,0.0350248985032025,0.113882220074462,0,1
"9",237,-7.25861,-64.7981,34.2,3.92999992370605,-270.035000038147,365,0.00296965242609361,0.0203878219259464,0.59702662941129,0,-0.00722824678356694,-0.0163382135744581,0.0924810864583332,0,1
"10",841,-6.8925,-66.2011,34.05,4.24000015258789,-270.035000038147,365,0.949972359429815,0.00446062928466797,0,0,-0.00710156796264633,0.014646832244873,0,0,1
"11",239,-6.9575,-66.3075,33.8299987792969,4.32999992370605,-270.045000076294,365,0.920187240405707,0,0,0,-0.16176544838544,0,0,0,1
"12",240,-19.858,-40.533,27.1600006103516,4.39000015258789,-270.545000076294,365,0.883799279138622,0,0,0,-0.0200253615629298,0,0,0,1
"13",241,-19.9356,-40.6003,25.4899993896484,4.1,-270.425,365,0.317700340988327,0,0.27502017922757,0,0.040059274294625,0,0.0833854070810352,0,1
"14",242,4.088,-52.681,44.9399993896484,6.07000007629395,-270.025,365,0.964443689388329,0,0,0,0.00135337042379924,0,0,0,1
"15",243,-20.2639,-40.42,24.2399993896484,4.90999984741211,-270.175,365,0.0338004989228492,0.00335999515686035,0.492689958376894,0,0.0467759523183785,0.00755999285888672,0.202949383970969,0,1
"16",244,-17.8867,-44.5775,24.8800003051758,0.519999980926514,-270.095000076294,288,0.013108366746898,0,0.795094105720871,0,0.0109804322325463,0,0.0857040479633401,0,1
"17",245,-12.5453,-55.7114,30.3899993896484,0.309999990463257,-269.895000076294,315,0.0113733420837403,0,0.913790083323612,0,0.0130979023742675,0,0.00483508201772643,0,1
"18",873,-3.7419,-47.4947,36.1399993896484,1.71000003814697,-269.754999923706,297,0,0,0.761697503228441,0,0,0,0.0682823158979826,0,1
"19",946,-1.7464,-47.0594,41.7100006103516,3.85999984741211,-269.865000152588,348,0.0218997632633104,2.23392761230469e-05,0.825407520452478,0,-0.00697333899404489,0,0.132199384565884,0,1
"20",248,-2.99583,-47.3528,38.2299987792969,3.02000007629395,-269.775,311,0.00138382120361328,0,0.941368907878563,0,0.00357115270996094,0,0.0396975454234405,0,1
"21",249,-5.12056,-60.3797,35.9799987792969,6.3,-270.075,365,0.0527515337574678,0.000123535332354378,0.62251575634191,0,-0.00607634582160502,0,0.0229958419153552,0,1
"22",988,-0.3667,-51.0664,38.35,4.35,-270.045000076294,365,0.943214282862861,0.000849259272766115,0,0,0.00715165707397481,0,0,0,1
"23",251,-10.7081,-48.4172,27.7299987792969,0.0699999988079071,-269.634999847412,302,6.5911538696289e-05,0,0.642034356707689,0,-0.00131823077392578,0,-0.0150743047991591,0,1
"24",252,-14.74,-57.0539,31.25,1.01000003814697,-269.845000076294,339,0,0.00773538694992064,0,0,0,-0.00605711511230469,0,0,1
"25",253,-10.8853,-61.9517,30.7600006103516,1.11999998092651,-269.845000076294,344,0.0360543326873779,0,0.79127598814006,0,-0.00263494107055667,0,0.034331256576239,0,1
"26",899,-3.1019,-60.025,29.7700012207031,8.91999969482422,-270.064999961853,365,0.00624314430278103,0.00466437465667725,0.963574491979321,0,0.000892702728271485,-0.00223175808715821,0.00312445980834958,0,1
"27",255,-10.7828,-65.3394,26.8899993896484,1.26000003814697,-269.954999923706,348,0.000803672614692238,0.00016797052450741,0.93017491107292,0,-0.00285118386242437,0,0.00351443444824218,0,1
"28",256,-13.2681,-39.6628,10.0900001525879,4.97000007629395,-270.285000038147,248,0.00582707869230383,0,0.407279027717335,0,0.0111828661434398,0,0.197883999398507,0,1
"29",887,-3.3542,-64.7114,30.3399993896484,11.7800003051758,-270.135000038147,365,0.098321744681875,0.000154697291361491,0.763581816672468,0,0.0038008777584299,-0.00086273696492513,0.146279846861359,0,1
"30",258,-20.3903,-40.4961,20.95,4.2,-270.125,365,0.141311481038902,0,0.54796591359254,0,0.11074621001934,0,0.0680599452392558,0,1
"31",259,2.81972,-60.6733,30.7799987792969,2.86000003814697,-269.834999847412,316,0,0,0.982315328005084,0,0,0,0,0,1
"32",940,-1.8283,-44.8683,44.6,1.03999996185303,-270.145000076294,346,0.0331749773864447,0.00241253312683105,0.51551219188461,0,-0.0208578642763624,0.00134029577636719,0.274409215349265,0,1
"33",928,-2.532,-44.108,40.3299987792969,0.75,-270.225,365,0.254961825940013,0.0066984423324585,0.340293065881724,0,-0.0804601102513929,-0.006251879486084,0.0682506318488629,0,1
"34",262,-22.505,-43.1786,35.9799987792969,4.97000007629395,-270.495000076294,365,0.357600769665444,0.0441667052571016,0.317134229233172,0,0.0402660013798732,0.00662014648437499,0.0564168658619607,0,1
"35",263,-17.2222,-46.8747,34.4899993896484,0.490000009536743,-270.145000076294,316,0,0,0.979881436690264,0,0,0,0,0,1
"36",264,-15.7797,-47.9297,26.4899993896484,0.609999990463257,-270.335000038147,344,0,0,0.848641030933812,0,0,0,0.0654905865138613,0,1
"37",265,-22.7592,-43.4511,23.9100006103516,3.45,-270.004999923706,365,0,0,0.974182800469376,0,0,0,0,0,1
"38",705,-15.073,-57.181,29.3,1.06999998092651,-269.834999847412,316,0.0320507683788704,0.096542570058253,0.723619546349851,0,0.0148656887508617,-0.0459786121321137,0.0479369107995131,0,1
"39",1006,1.816,-61.128,34.4100006103516,4.84000015258789,-270.035000038147,363,0.000357414471435547,0,0.624426596878052,0,0,0,0.00670152182006855,0,1
"40",955,-1.4558,-48.5044,42.7899993896484,9.24000015258789,-269.995000076294,365,0,0.000134054251098633,0.670770887440096,0,0,0.000446846557617187,0.00361155978860239,0,1
"41",269,-10.7633,-48.1089,29.35,0.0600000023841858,-269.645000076294,309,0.0105419872913854,0,0.605937756966452,0,-0.0114844413348029,0,0.106812190213431,0,1
"42",543,-18.91064227,-48.23702273,30.9,1.21000003814697,-270.285000038147,337,0.0674596924558153,0.148226047100938,0.369812793433862,0,0.0426949787671856,0.0285757425517958,0.00846913861083981,0,1
"43",560,-10.037083,-67.785278,25.8600006103516,2.5,-269.934999847412,358,0.0463026354643698,0,0,0,0.00203941568184646,0,0,0,1
"44",919,-2.635,-44.1481,38.9700012207031,0.869999980926514,-270.075,349,0.708255191197493,0,0.01173136709198,0,-0.0417319049607206,0,0.0083579719805549,0,1
"45",647,-22.11,-56.52,19.3199996948242,4.22999992370606,-269.954999923706,365,0.0592077193237305,0.00539368825073242,0.401901578414499,0,0.0390011262207031,-0.00746830676269531,0.0107873198852539,0,1
"46",663,-20.4699,-54.6237,23.3800003051758,2.32000007629395,-270.175,365,0,0,0.968928590393066,0,0,0,0,0,1
"47",641,-24.95,-47.949,36.6700012207031,7.01999969482422,-270.345000076294,365,0.0284119824953565,0,0,0,0,0,0,0,1
"48",642,-24.612,-47.891,30.7,6.29000015258789,-270.245000076294,365,0.463842042341536,0.00814637237548828,0,0,0.0726124184651687,0,0,0,1
"49",643,-23.163,-44.351,24.4100006103516,6.5,-270.445000076294,365,0.555152800698856,0.0144957394836426,0,0,0.0955388795776414,0.00411820361328124,0,0,1
"50",644,-23.134,-44.173,24.6,6.96999969482422,-270.445000076294,365,0.664431698096626,0,0.0140917570499555,0,0.0836773517197597,0,0.00329507373046875,0,1
"51",645,-22.595,-43.44,26.5399993896484,3.22999992370606,-270.054999923706,365,0.828760583786368,0,0,0,0.02646367211914,0,0,0,1
"52",646,-22.565,-43.229,28.9,4.14000015258789,-270.354999923706,365,0.952182633116965,0,0,0,0.00909869683837961,0,0,0,1
"53",649,-22.1,-56.543,19.6,4.25,-269.964999961853,365,0.252445647930908,0.0709540998046875,0.10378996598421,0,0.0348548432617188,-0.0489629525756837,-0.00165969940185548,0,1
"54",650,-21.76,-52.097,24.8899993896484,3.22000007629395,-270.114999961853,365,0.149831190075612,0.104601079237551,0.0930609874732044,0,0.138852104529526,0.00989357570728977,0.0535358496610755,0,1
